Number Goods: 80,  Number Bidders: 800,  Number Iterations: 100
integral util | fractional util
2.6 | 3.42
2.3 | 2.76
2.5 | 4.15
0 | 1.53
1.25 | 2.28
2.5 | 3.18
1.25 | 2.38
1.25 | 2.62
2.6 | 3.77
1.3 | 2.18
2.5 | 2.68
1.3 | 1.55
1.25 | 2.09
1.2 | 1.77
1.25 | 1.63
1.25 | 2.16
3.8 | 4.22
0 | 0.603
0 | 2.05
1.3 | 2.25
1.3 | 1.65
2.5 | 3.29
1.2 | 1.89
2.6 | 3.38
1.3 | 4.1
1.25 | 2.58
0 | 2.05
1.3 | 1.41
2.55 | 4.2
0 | 1.71
2.5 | 3.66
1.25 | 2.56
0 | 1.02
2.4 | 2.99
3.9 | 4.44
1.25 | 3.36
2.5 | 3.29
2.5 | 3.22
2.6 | 2.94
2.5 | 3.37
2.5 | 4.43
1.3 | 2.61
2.4 | 2.79
1.1 | 2.18
2.4 | 3.12
2.6 | 3.69
2.5 | 3.92
0 | 1.02
2.6 | 2.75
0 | 1.3
1.3 | 2.26
1.3 | 1.56
0 | 1.18
3.6 | 4.13
2.5 | 2.88
1.3 | 1.87
0 | 1.47
2.6 | 3.72
1.25 | 2.06
2.4 | 3.42
1.25 | 2.62
0 | 1.02
1.25 | 3.54
0 | 1.18
0 | 1.03
0 | 1.42
2.6 | 2.65
0 | 0.893
1.3 | 3.41
3.6 | 3.67
0 | 2.56
2.6 | 4.15
1.3 | 3.24
2.6 | 3.18
2.5 | 3.43
1.25 | 2.29
0 | 1.64
1.3 | 1.79
1.25 | 1.64
2.6 | 3
0 | 1.9
0 | 1.58
2.5 | 3.09
0 | 0.899
2.6 | 2.86
3.9 | 4.02
1.3 | 1.59
1.2 | 2.2
2.6 | 4.15
1.2 | 2.73
1.3 | 1.59
2.5 | 3.23
1.25 | 2.05
3.9 | 4.62
0 | 2.24
2.6 | 3.81
0 | 0.579
1.25 | 1.83
2.4 | 3.6
1.25 | 2.67
1.3 | 2.39
1.2 | 1.76
2.55 | 3.6
2.5 | 2.59
2.6 | 3.34
1.3 | 1.93
1.2 | 3.73
0 | 1.49
0 | 2.53
0 | 1.44
1.3 | 1.58
1.25 | 2.82
0 | 1.94
1.3 | 1.81
2.4 | 2.94
1.25 | 1.97
2.6 | 4.05
0 | 1.41
3.6 | 4.5
2.5 | 3.54
3.6 | 4.22
0 | 0.724
1.3 | 2.18
1.25 | 1.81
2.6 | 3.21
1.3 | 2.6
1.2 | 1.62
2.6 | 3.68
2.6 | 4.18
0 | 1.65
2.5 | 3.14
1.3 | 3.37
1.3 | 3.13
1.25 | 1.63
2.6 | 3.3
1.2 | 3.63
1.25 | 3.15
1.25 | 2.5
2.6 | 2.75
3.9 | 4.66
0 | 1.59
3.75 | 3.96
3.75 | 4
2.4 | 3.64
1.15 | 3.75
2.6 | 3.58
0 | 1.02
1.25 | 2.55
1.2 | 1.94
1.3 | 2.56
1.2 | 3.35
1.25 | 2.61
1.3 | 2.51
2.6 | 3.66
0 | 0.556
2.6 | 3.51
0 | 1.21
2.6 | 3.77
1.2 | 1.56
2.6 | 4.03
1.3 | 3.21
2.5 | 3.22
1.3 | 3.31
0 | 1.2
2.5 | 4.13
1.25 | 2.21
1.3 | 1.84
1.2 | 2.45
1.2 | 1.46
1.25 | 1.96
1.3 | 4.13
0 | 1.8
1.25 | 2.88
2.6 | 3.57
2.55 | 3.41
1.3 | 2.45
2.5 | 2.77
1.2 | 3.11
0 | 0.897
2.5 | 3.68
1.25 | 1.94
0 | 1.16
1.3 | 2.61
1.3 | 2.5
2.6 | 3.97
1.3 | 1.9
2.6 | 2.82
1.3 | 1.59
2.5 | 3.39
0 | 1.55
0 | 1.21
1.25 | 2.08
3.55 | 4.13
1.25 | 1.53
1.3 | 2.44
1.3 | 2.41
1.25 | 2.92
2.6 | 4.44
1.2 | 1.98
1.3 | 2.89
2.6 | 3.31
2.6 | 3.85
1.25 | 1.93
0 | 1.07
1.2 | 4.06
0 | 2.69
1.25 | 2.81
0 | 1.12
2.4 | 4.11
1.25 | 2.68
2.5 | 3.79
0 | 1.76
2.6 | 3.88
3.6 | 4.45
2.5 | 2.79
3.6 | 4.25
0 | 0.558
1.25 | 2.48
0 | 0.776
2.5 | 2.55
0 | 0.66
1.25 | 2.06
0 | 1.45
1.3 | 1.78
1.25 | 2.16
1.25 | 2.89
2.6 | 3.57
1.2 | 2.35
0 | 1.42
1.3 | 2.36
3.7 | 4.65
3.9 | 4.12
1.25 | 3.39
1.3 | 1.32
1.3 | 2.16
1.3 | 1.43
2.5 | 3.74
0 | 2
2.5 | 2.91
1.25 | 1.97
0 | 1.71
1.2 | 3.98
2.4 | 4.34
1.2 | 1.55
2.6 | 2.92
1.3 | 1.31
1.25 | 3.3
0 | 0.674
0 | 0.607
2.4 | 3.73
1.25 | 2.46
